专业名称,policy_score,intl_score,employ_score,salary_score,talent_score,window_note
计算机科学与技术,9,8,9,9,8,政策强推数字中国，国际技术迭代快，就业薪资双高，人才缺口仍大但供给增加
人工智能,10,10,9,10,10,国家战略核心，全球爆发期，中国加速追赶，薪资顶尖，人才极度稀缺
软件工程,9,8,9,9,8,与计算机类似，应用导向更明确，就业市场稳定广阔，高端人才需求旺盛
数据科学与大数据技术,10,9,9,9,9,数据要素国策驱动，全球需求增长，分析类岗位需求大，起薪高
网络安全,10,9,9,9,9,国家安全重中之重，全球威胁加剧催生需求，专业人才严重短缺
电子信息工程,8,7,8,8,7,信息产业基础，政策支持稳定，国际竞争激烈，就业面广，高端芯片等领域缺口大
通信工程,8,7,8,8,7,5G/6G政策驱动，国际标准竞争，就业稳定，但部分传统领域饱和
自动化,8,8,8,8,8,智能制造与机器人核心，产业升级关键，就业良好，复合型人才紧俏
机械工程,7,6,7,7,6,制造强国基石，传统领域稳定，智能装备方向窗口打开，整体竞争激烈
土木工程,6,4,6,5,4,基建高峰期过，政策转向“两新一重”，国际部分饱和，国内需求放缓，竞争激烈
建筑学,6,5,6,6,5,与房地产周期相关，政策调整期，绿色建筑、城市更新提供新机会
化学工程与工艺,7,6,7,7,6,传统支柱产业，向精细化工、新材料转型，就业稳定但部分领域环境压力大
生物工程,8,8,7,7,7,生物经济政策支持，国际前沿，但产业化周期长，高端研发人才需求大
环境科学与工程,8,7,7,7,7,双碳政策强力驱动，国际共识高，就业稳步增长，但薪资涨幅相对平缓
材料科学与工程,9,8,7,7,8,解决“卡脖子”关键，政策极度重视，半导体、新能源材料等方向窗口显著
电气工程及其自动化,8,7,8,8,7,新型电力系统构建核心，新能源接入带来新需求，就业稳定向好
新能源科学与工程,10,9,8,8,9,双碳战略核心，全球能源转型黄金期，产业高速扩张，人才需求旺盛
智能制造工程,10,8,8,8,9,中国制造2025核心，政策全力推进，融合IT/OT，人才缺口明显
临床医学,9,7,10,8,9,健康中国支撑，国际经验持续输入，就业刚需且对口率极高，培养周期长缺口持久
口腔医学,8,7,9,9,8,消费升级与老龄化驱动，需求快速增长，市场化程度高，薪资吸引力强
药学,8,8,8,7,7,医药创新政策鼓励，国际研发活跃，创新药、临床研究等方向机会多
护理学,9,7,10,6,10,老龄化与健康中国催生巨大需求，国际人才流动，就业极易，但薪资与劳动强度需关注
中医学,9,6,8,7,7,国家政策扶持传承创新，国际影响力逐步提升，就业领域相对特定
生物医学工程,8,8,7,7,7,医工交叉前沿，政策支持，高端医疗器械进口替代空间大，需要复合背景
公共卫生与预防医学,9,8,8,7,8,疫情后全球重视，中国疾控体系改革加强，需求增长稳定
工商管理,6,6,6,6,5,传统专业，供给量大，高端管理人才仍有市场，但初毕业生竞争激烈
金融学,7,6,7,8,6,监管趋严，科技冲击，传统岗位竞争白热化，需向金融科技、绿色金融等转型
会计学,7,5,8,7,5,基础岗位面临自动化替代，但高端财务、管理会计仍有需求，政策规范行业
经济学,7,6,7,7,5,理论性强，多进入研究、金融、政府机构，对口就业竞争激烈
国际经济与贸易,6,5,6,6,5,受国际经贸形势影响大，传统模式受挑战，需结合数字贸易等新技能
市场营销,6,6,7,7,5,数字化营销成为绝对主流，传统理论需与数据分析结合，创意与技术复合人才缺
人力资源管理,7,6,7,7,6,组织数字化转型带来新需求，传统事务性工作可替代，战略HR人才有价值
电子商务,8,7,8,8,7,数字经济主力，政策鼓励，直播电商、跨境电商等新模式创造持续就业
物流管理,8,7,8,7,7,智慧物流、供应链升级驱动，政策支持现代流通体系建设，就业稳定增长
法学,7,5,6,6,5,供给过剩，司法考试门槛，传统法律竞争激烈，涉外、知识产权、金融科技法等有窗口
心理学,7,7,6,6,6,社会需求增长，但临床、咨询路径长，工业与组织心理学、用户体验等应用方向更佳
社会工作,8,6,7,5,7,政策推动社会治理现代化，基层需求大，但职业化程度与薪资待遇仍待提高
教育学,8,6,8,6,7,稳定需求，双减后校内教育重要性提升，教育科技、素质教育有新机会
学前教育,9,6,9,6,8,鼓励生育政策配套，刚性需求大，人才缺口持续，但薪资待遇普遍不高
汉语言文学,6,5,6,6,5,基础学科，就业面广但不对口多，考公、文秘、内容创作为主要出路，竞争激烈
英语,5,4,5,5,4,工具属性强，单纯语言优势下降，需结合其他专业技能，基础人才供给过剩
翻译,6,5,6,6,5,机器翻译冲击大，高端会议、文学、本地化及垂直领域专业译员仍有需求
新闻传播学,7,6,6,6,6,媒体深度融合，传统媒体转型，短视频、运营、内容策划等新媒体技能关键
视觉传达设计,7,6,7,7,6,数字化设计需求旺盛，UI/UX、动态设计、品牌视觉等领域机会多
产品设计,8,7,7,7,7,中国制造向中国创造转型，用户体验至关重要，智能硬件、交互设计是热点
数字媒体艺术,9,8,8,8,8,元宇宙、游戏、影视特效等数字内容产业爆发，政策支持文化科技融合
历史学,5,4,5,5,4,基础学科，研究、教育、文博为主要方向，就业面窄，依赖个人兴趣与深造
哲学,5,4,5,5,4,基础学科，培养思维能力强，直接对口岗位少，多进入教育、研究、公务员等领域
数字经济,10,9,8,9,9,国家顶层战略，数据要素市场化，产业数字化与数字产业化双轮驱动，新兴交叉学科
金融科技,10,9,9,10,10,金融创新与科技监管焦点，全球发展迅猛，中国领先应用，复合型人才极度稀缺
